Year,Team,Continent,Wins,Draws,Losses,Goals,Total Games,Average Goals,Win Rate
2012,Chinese Taipei,Asia,0,0,4,2,4,0.5,0.0
2012,Colombia,South America,6,1,1,16,8,2.0,75.0
2012,Comoros,Africa,0,1,1,0,2,0.0,0.0
2012,Congo,Africa,3,1,3,10,7,1.4285714285714286,42.857142857142854
2012,Congo DR,Africa,4,3,3,16,10,1.6,40.0
2012,Costa Rica,North America,5,4,4,20,13,1.5384615384615385,38.46153846153847
2012,Croatia,Europe,5,3,3,17,11,1.5454545454545454,45.45454545454545
2012,Cuba,North America,4,1,8,9,13,0.6923076923076923,30.76923076923077
2012,Curaçao,North America,0,0,4,4,4,1.0,0.0
2012,Cyprus,Europe,1,1,5,4,7,0.5714285714285714,14.285714285714285
2012,Czech Republic,Europe,5,4,4,14,13,1.0769230769230769,38.46153846153847
2012,Côte d'Ivoire,Africa,11,3,1,26,15,1.7333333333333334,73.33333333333333
2012,Denmark,Europe,2,3,6,11,11,1.0,18.181818181818183
2012,Dominica,North America,1,0,2,4,3,1.3333333333333333,33.33333333333333
2012,Dominican Republic,North America,4,1,2,12,7,1.7142857142857142,57.14285714285714
2012,Ecuador,South America,5,2,1,11,8,1.375,62.5
2012,Egypt,Africa,13,5,2,41,20,2.05,65.0
2012,El Salvador,North America,3,3,6,13,12,1.0833333333333333,25.0
2012,England,Europe,7,3,3,25,13,1.9230769230769231,53.84615384615385
2012,Equatorial Guinea,Africa,4,2,4,9,10,0.9,40.0
2012,Eritrea,Africa,0,0,2,2,2,1.0,0.0
2012,Estonia,Europe,5,0,8,10,13,0.7692307692307693,38.46153846153847
2012,Eswatini,Africa,1,1,1,2,3,0.6666666666666666,33.33333333333333
2012,Ethiopia,Africa,3,3,4,10,10,1.0,30.0
2012,Faroe Islands,Europe,0,0,4,2,4,0.5,0.0
2012,Fiji,Oceania,0,2,1,1,3,0.3333333333333333,0.0
2012,Finland,Europe,5,2,3,18,10,1.8,50.0
2012,France,Europe,8,3,3,21,14,1.5,57.14285714285714
2012,Gabon,Africa,5,4,3,12,12,1.0,41.66666666666667
